varos,sorszam,valasztokorzet,lista,szavazatok,fidesz_aranya_valasztokorben,fidesz_aranya_teruleten,fidesz_aranya_diff,helyi_megjelentek_szama,atjelentkezett_megjelentek_szama,atjelentkezettek_aranya
"Pécs",145,"Pécs - 145",FIDESZ-KDNP,217,32.3880597014925,38.4655803319637,-6.07752063047116,673,0,0.0
"Csákánydoroszló",002,"Csákánydoroszló - 002",FIDESZ-KDNP,308,57.8947368421053,63.9756170086233,-6.08088016651799,534,0,0.0
Szombathely,007,"Szombathely - 007",FIDESZ-KDNP,345,43.6156763590392,49.6984379629394,-6.08276160390025,794,0,0.0
"Balkány",002,"Balkány - 002",FIDESZ-KDNP,311,52.3569023569024,58.4438639919372,-6.08696163503482,597,0,0.0
"Kesztölc",002,"Kesztölc - 002",FIDESZ-KDNP,193,35.7407407407407,41.8295133105983,-6.08877256985751,545,0,0.0
"Orgovány",002,"Orgovány - 002",FIDESZ-KDNP,340,59.7539543057997,65.8433784576005,-6.08942415180088,573,0,0.0
"Székesfehérvár",081,"Székesfehérvár - 081",FIDESZ-KDNP,254,41.0339256865913,47.1295567163719,-6.09563102978066,623,0,0.0
"Mohács",012,"Mohács - 012",FIDESZ-KDNP,324,52.0064205457464,58.1047812897314,-6.098360743985,628,0,0.0
"Arnót",002,"Arnót - 002",FIDESZ-KDNP,367,43.8995215311005,50.0092013249908,-6.10967979389032,844,0,0.0
"Kapuvár",003,"Kapuvár - 003",FIDESZ-KDNP,404,53.9385847797063,60.056206723195,-6.11762194348868,755,0,0.0
Bugyi,007,"Bugyi - 007",FIDESZ-KDNP,57,53.7735849056604,59.892291499989,-6.11870659432864,107,0,0.0
Debrecen,068,"Debrecen - 068",FIDESZ-KDNP,387,42.7624309392265,48.8831492940873,-6.1207183548608,908,0,0.0
"Kunfehértó",002,"Kunfehértó - 002",FIDESZ-KDNP,244,44.6069469835466,50.7349598834366,-6.12801289989,550,0,0.0
Tata,007,"Tata - 007",FIDESZ-KDNP,206,38.2189239332096,44.3569261669842,-6.13800223377451,552,0,0.0
Tar,002,"Tar - 002",FIDESZ-KDNP,196,45.0574712643678,51.196907189746,-6.13943592537817,443,0,0.0
"Vaspör",002,"Vaspör - 002",FIDESZ-KDNP,30,65.2173913043478,71.3586956521739,-6.14130434782608,47,0,0.0
"Újszász",006,"Újszász - 006",FIDESZ-KDNP,244,45.1851851851852,51.329874054024,-6.14468886883881,545,0,0.0
"Salgótarján",031,"Salgótarján - 031",FIDESZ-KDNP,217,39.3115942028986,45.4633500828422,-6.15175587994362,554,0,0.0
"Kecskemét",037,"Kecskemét - 037",FIDESZ-KDNP,316,43.1693989071038,49.3213709560138,-6.15197204891001,734,0,0.0
Abony,012,"Abony - 012",FIDESZ-KDNP,220,50.5747126436782,56.7279310807552,-6.15321843707701,436,0,0.0
"Jászladány",006,"Jászladány - 006",FIDESZ-KDNP,259,59.6774193548387,65.8321873578554,-6.15476800301666,439,0,0.0
"Győr",029,"Győr - 029",FIDESZ-KDNP,336,43.0769230769231,49.2317990574674,-6.15487598054432,786,0,0.0
"Nyíregyháza",069,"Nyíregyháza - 069",FIDESZ-KDNP,255,36.5329512893983,42.6901378033,-6.15718651390169,707,0,0.0
"Mélykút",004,"Mélykút - 004",FIDESZ-KDNP,247,53.695652173913,59.8578791047921,-6.16222693087902,467,132,22.0367278797997
"Vasvár",002,"Vasvár - 002",FIDESZ-KDNP,265,57.9868708971554,64.1526346356788,-6.16576373852342,458,0,0.0
"Bócsa",002,"Bócsa - 002",FIDESZ-KDNP,245,53.8461538461538,60.0202429149798,-6.17408906882591,463,0,0.0
"Budapest IV. kerület",026,"Budapest IV. kerület - 026",FIDESZ-KDNP,275,29.8913043478261,36.0669015020653,-6.17559715423918,924,0,0.0
"Budapest IV. kerület",032,"Budapest IV. kerület - 032",FIDESZ-KDNP,217,29.8898071625344,36.0669015020653,-6.17709433953083,727,0,0.0
"Budapest IV. kerület",015,"Budapest IV. kerület - 015",FIDESZ-KDNP,214,29.8882681564246,36.0669015020653,-6.17863334564068,718,0,0.0
"Budapest VI. kerület",029,"Budapest VI. kerület - 029",FIDESZ-KDNP,217,30.9116809116809,37.0924979718368,-6.18081706015588,705,0,0.0
"Vác",027,"Vác - 027",FIDESZ-KDNP,243,40.7035175879397,46.8876635682735,-6.18414598033377,600,0,0.0
