varos,sorszam,valasztokorzet,szavazat_tipus,ervenyes_szavazolapok,ervenytelen_szavazolapok,ervenytelen_arany
Debrecen,060,"Debrecen - 060",L,917,1,0.108932461873638
"Budapest XIV. kerület",031,"Budapest XIV. kerület - 031",L,918,1,0.108813928182807
"Győr",026,"Győr - 026",L,919,1,0.108695652173913
Debrecen,120,"Debrecen - 120",L,926,1,0.107874865156419
Debrecen,135,"Debrecen - 135",L,937,1,0.106609808102345
"Budapest IV. kerület",003,"Budapest IV. kerület - 003",L,945,1,0.105708245243129
Debrecen,023,"Debrecen - 023",J,945,1,0.105708245243129
"Tiszakécske",003,"Tiszakécske - 003",L,953,1,0.10482180293501
"Budapest XXII. kerület",003,"Budapest XXII. kerület - 003",J,962,1,0.103842159916926
"Budapest XIV. kerület",025,"Budapest XIV. kerület - 025",L,969,1,0.103092783505155
Szeged,305,"Szeged - 305",L,976,1,0.102354145342886
Debrecen,071,"Debrecen - 071",J,985,1,0.101419878296146
Debrecen,071,"Debrecen - 071",L,985,1,0.101419878296146
"Gárdony",007,"Gárdony - 007",L,1000,1,0.0999000999000999
Szeged,409,"Szeged - 409",L,1009,1,0.099009900990099
Zalaegerszeg,048,"Zalaegerszeg - 048",L,1012,1,0.0987166831194472
"Budapest XI. kerület",086,"Budapest XI. kerület - 086",L,1024,1,0.0975609756097561
"Tahitótfalu",003,"Tahitótfalu - 003",L,1041,1,0.0959692898272553
Szeged,120,"Szeged - 120",L,1056,1,0.0946073793755913
"Budapest II. kerület",002,"Budapest II. kerület - 002",L,724,0,0.0
"Budapest II. kerület",007,"Budapest II. kerület - 007",J,686,0,0.0
"Budapest II. kerület",008,"Budapest II. kerület - 008",L,748,0,0.0
"Budapest II. kerület",029,"Budapest II. kerület - 029",J,404,0,0.0
"Budapest II. kerület",034,"Budapest II. kerület - 034",L,568,0,0.0
"Budapest II. kerület",071,"Budapest II. kerület - 071",J,703,0,0.0
"Budapest III. kerület",019,"Budapest III. kerület - 019",L,854,0,0.0
"Budapest III. kerület",023,"Budapest III. kerület - 023",L,716,0,0.0
"Budapest III. kerület",042,"Budapest III. kerület - 042",L,341,0,0.0
"Budapest III. kerület",062,"Budapest III. kerület - 062",L,617,0,0.0
"Budapest III. kerület",064,"Budapest III. kerület - 064",J,567,0,0.0
"Budapest III. kerület",079,"Budapest III. kerület - 079",L,749,0,0.0
"Budapest III. kerület",080,"Budapest III. kerület - 080",L,693,0,0.0
"Budapest III. kerület",099,"Budapest III. kerület - 099",L,710,0,0.0
"Budapest IV. kerület",002,"Budapest IV. kerület - 002",L,883,0,0.0
"Budapest IV. kerület",004,"Budapest IV. kerület - 004",L,1057,0,0.0
"Budapest IV. kerület",006,"Budapest IV. kerület - 006",L,1053,0,0.0
"Budapest IV. kerület",011,"Budapest IV. kerület - 011",J,782,0,0.0
"Budapest IV. kerület",012,"Budapest IV. kerület - 012",L,759,0,0.0
"Budapest IV. kerület",016,"Budapest IV. kerület - 016",J,812,0,0.0
"Budapest IV. kerület",070,"Budapest IV. kerület - 070",L,796,0,0.0
"Budapest VI. kerület",008,"Budapest VI. kerület - 008",J,457,0,0.0
"Budapest VI. kerület",008,"Budapest VI. kerület - 008",L,457,0,0.0
"Budapest VII. kerület",010,"Budapest VII. kerület - 010",J,346,0,0.0
"Budapest VII. kerület",021,"Budapest VII. kerület - 021",L,699,0,0.0
"Budapest VIII. kerület",005,"Budapest VIII. kerület - 005",L,550,0,0.0
"Budapest VIII. kerület",020,"Budapest VIII. kerület - 020",L,589,0,0.0
"Budapest VIII. kerület",023,"Budapest VIII. kerület - 023",L,415,0,0.0
"Budapest VIII. kerület",033,"Budapest VIII. kerület - 033",L,385,0,0.0
"Budapest VIII. kerület",037,"Budapest VIII. kerület - 037",L,248,0,0.0
"Budapest VIII. kerület",047,"Budapest VIII. kerület - 047",J,372,0,0.0
"Budapest VIII. kerület",048,"Budapest VIII. kerület - 048",L,513,0,0.0
"Budapest VIII. kerület",053,"Budapest VIII. kerület - 053",J,487,0,0.0
"Budapest VIII. kerület",056,"Budapest VIII. kerület - 056",L,727,0,0.0
"Budapest VIII. kerület",057,"Budapest VIII. kerület - 057",J,446,0,0.0
"Budapest IX. kerület",007,"Budapest IX. kerület - 007",L,425,0,0.0
"Budapest IX. kerület",009,"Budapest IX. kerület - 009",J,476,0,0.0
"Budapest IX. kerület",016,"Budapest IX. kerület - 016",L,385,0,0.0
"Budapest IX. kerület",019,"Budapest IX. kerület - 019",J,594,0,0.0
"Budapest IX. kerület",019,"Budapest IX. kerület - 019",L,594,0,0.0
"Budapest IX. kerület",041,"Budapest IX. kerület - 041",L,498,0,0.0
"Budapest IX. kerület",042,"Budapest IX. kerület - 042",L,520,0,0.0
"Budapest IX. kerület",051,"Budapest IX. kerület - 051",L,617,0,0.0
"Budapest X. kerület",001,"Budapest X. kerület - 001",L,449,0,0.0
"Budapest X. kerület",016,"Budapest X. kerület - 016",J,567,0,0.0
"Budapest X. kerület",033,"Budapest X. kerület - 033",L,457,0,0.0
"Budapest X. kerület",047,"Budapest X. kerület - 047",J,386,0,0.0
"Budapest X. kerület",048,"Budapest X. kerület - 048",J,386,0,0.0
"Budapest X. kerület",049,"Budapest X. kerület - 049",J,352,0,0.0
"Budapest X. kerület",052,"Budapest X. kerület - 052",J,503,0,0.0
"Budapest X. kerület",052,"Budapest X. kerület - 052",L,503,0,0.0
"Budapest X. kerület",068,"Budapest X. kerület - 068",J,521,0,0.0
"Budapest X. kerület",068,"Budapest X. kerület - 068",L,521,0,0.0
"Budapest XI. kerület",029,"Budapest XI. kerület - 029",J,637,0,0.0
"Budapest XI. kerület",041,"Budapest XI. kerület - 041",L,640,0,0.0
"Budapest XI. kerület",056,"Budapest XI. kerület - 056",L,709,0,0.0
"Budapest XI. kerület",077,"Budapest XI. kerület - 077",J,624,0,0.0
"Budapest XI. kerület",090,"Budapest XI. kerület - 090",L,548,0,0.0
"Budapest XI. kerület",104,"Budapest XI. kerület - 104",L,880,0,0.0
"Budapest XII. kerület",003,"Budapest XII. kerület - 003",L,376,0,0.0
"Budapest XII. kerület",004,"Budapest XII. kerület - 004",L,601,0,0.0
"Budapest XII. kerület",015,"Budapest XII. kerület - 015",L,580,0,0.0
"Budapest XII. kerület",035,"Budapest XII. kerület - 035",L,731,0,0.0
"Budapest XII. kerület",051,"Budapest XII. kerület - 051",L,471,0,0.0
"Budapest XII. kerület",052,"Budapest XII. kerület - 052",L,754,0,0.0
"Budapest XIII. kerület",007,"Budapest XIII. kerület - 007",L,745,0,0.0
"Budapest XIII. kerület",014,"Budapest XIII. kerület - 014",L,792,0,0.0
"Budapest XIII. kerület",021,"Budapest XIII. kerület - 021",L,911,0,0.0
"Budapest XIII. kerület",028,"Budapest XIII. kerület - 028",L,689,0,0.0
"Budapest XIII. kerület",042,"Budapest XIII. kerület - 042",L,586,0,0.0
"Budapest XIII. kerület",045,"Budapest XIII. kerület - 045",L,545,0,0.0
"Budapest XIII. kerület",048,"Budapest XIII. kerület - 048",J,774,0,0.0
"Budapest XIII. kerület",048,"Budapest XIII. kerület - 048",L,774,0,0.0
"Budapest XIII. kerület",053,"Budapest XIII. kerület - 053",L,688,0,0.0
"Budapest XIII. kerület",064,"Budapest XIII. kerület - 064",J,707,0,0.0
"Budapest XIII. kerület",064,"Budapest XIII. kerület - 064",L,707,0,0.0
"Budapest XIV. kerület",050,"Budapest XIV. kerület - 050",L,800,0,0.0
"Budapest XV. kerület",001,"Budapest XV. kerület - 001",L,662,0,0.0
"Budapest XV. kerület",005,"Budapest XV. kerület - 005",L,626,0,0.0
"Budapest XV. kerület",030,"Budapest XV. kerület - 030",L,549,0,0.0
"Budapest XV. kerület",037,"Budapest XV. kerület - 037",L,606,0,0.0
"Budapest XV. kerület",046,"Budapest XV. kerület - 046",L,646,0,0.0
"Budapest XVII. kerület",005,"Budapest XVII. kerület - 005",L,628,0,0.0
"Budapest XVII. kerület",006,"Budapest XVII. kerület - 006",J,719,0,0.0
"Budapest XVII. kerület",006,"Budapest XVII. kerület - 006",L,719,0,0.0
"Budapest XVII. kerület",013,"Budapest XVII. kerület - 013",L,617,0,0.0
"Budapest XVII. kerület",028,"Budapest XVII. kerület - 028",L,550,0,0.0
"Budapest XVIII. kerület",006,"Budapest XVIII. kerület - 006",L,756,0,0.0
"Budapest XVIII. kerület",069,"Budapest XVIII. kerület - 069",L,880,0,0.0
"Budapest XIX. kerület",013,"Budapest XIX. kerület - 013",L,661,0,0.0
"Budapest XIX. kerület",019,"Budapest XIX. kerület - 019",J,620,0,0.0
"Budapest XX. kerület",010,"Budapest XX. kerület - 010",L,508,0,0.0
"Budapest XX. kerület",014,"Budapest XX. kerület - 014",L,501,0,0.0
"Budapest XX. kerület",026,"Budapest XX. kerület - 026",L,593,0,0.0
"Budapest XX. kerület",053,"Budapest XX. kerület - 053",L,462,0,0.0
"Budapest XX. kerület",061,"Budapest XX. kerület - 061",L,426,0,0.0
"Budapest XXI. kerület",010,"Budapest XXI. kerület - 010",L,790,0,0.0
"Budapest XXI. kerület",019,"Budapest XXI. kerület - 019",L,603,0,0.0
"Budapest XXI. kerület",044,"Budapest XXI. kerület - 044",L,518,0,0.0
"Budapest XXI. kerület",056,"Budapest XXI. kerület - 056",L,537,0,0.0
"Budapest XXI. kerület",061,"Budapest XXI. kerület - 061",L,599,0,0.0
"Budapest XXII. kerület",003,"Budapest XXII. kerület - 003",L,961,0,0.0
"Budapest XXII. kerület",015,"Budapest XXII. kerület - 015",L,829,0,0.0
"Budapest XXII. kerület",022,"Budapest XXII. kerület - 022",L,803,0,0.0
"Budapest XXII. kerület",027,"Budapest XXII. kerület - 027",J,983,0,0.0
"Adorjás",001,"Adorjás - 001",L,82,0,0.0
"Almamellék",001,"Almamellék - 001",L,231,0,0.0
"Almáskeresztúr",001,"Almáskeresztúr - 001",J,51,0,0.0
"Almáskeresztúr",001,"Almáskeresztúr - 001",L,51,0,0.0
"Alsómocsolád",001,"Alsómocsolád - 001",L,150,0,0.0
"Ág",001,"Ág - 001",J,92,0,0.0
"Ág",001,"Ág - 001",L,92,0,0.0
"Áta",001,"Áta - 001",J,106,0,0.0
"Babarcszőlős",001,"Babarcszőlős - 001",J,45,0,0.0
"Babarcszőlős",001,"Babarcszőlős - 001",L,45,0,0.0
"Baranyaszentgyörgy",001,"Baranyaszentgyörgy - 001",J,78,0,0.0
"Baranyaszentgyörgy",001,"Baranyaszentgyörgy - 001",L,78,0,0.0
"Bánfa",001,"Bánfa - 001",J,77,0,0.0
"Bánfa",001,"Bánfa - 001",L,77,0,0.0
"Bár",001,"Bár - 001",J,286,0,0.0
Besence,001,"Besence - 001",J,54,0,0.0
Boldogasszonyfa,002,"Boldogasszonyfa - 002",J,29,0,0.0
Boldogasszonyfa,002,"Boldogasszonyfa - 002",L,29,0,0.0
Boldogasszonyfa,003,"Boldogasszonyfa - 003",J,54,0,0.0
Boldogasszonyfa,003,"Boldogasszonyfa - 003",L,54,0,0.0
Bosta,001,"Bosta - 001",J,67,0,0.0
Bosta,001,"Bosta - 001",L,67,0,0.0
"Bürüs",001,"Bürüs - 001",J,42,0,0.0
"Csarnóta",001,"Csarnóta - 001",J,87,0,0.0
"Csarnóta",001,"Csarnóta - 001",L,87,0,0.0
"Csebény",001,"Csebény - 001",L,48,0,0.0
"Cserkút",001,"Cserkút - 001",L,333,0,0.0
Csonkamindszent,001,"Csonkamindszent - 001",L,88,0,0.0
"Cún",001,"Cún - 001",L,114,0,0.0
Dinnyeberki,001,"Dinnyeberki - 001",J,41,0,0.0
Dinnyeberki,001,"Dinnyeberki - 001",L,41,0,0.0
"Drávacsehi",001,"Drávacsehi - 001",J,90,0,0.0
"Drávakeresztúr",001,"Drávakeresztúr - 001",J,70,0,0.0
"Drávakeresztúr",001,"Drávakeresztúr - 001",L,70,0,0.0
"Drávapiski",001,"Drávapiski - 001",L,40,0,0.0
"Drávaszerdahely",001,"Drávaszerdahely - 001",J,88,0,0.0
"Erdősmárok",001,"Erdősmárok - 001",J,48,0,0.0
"Erzsébet",001,"Erzsébet - 001",J,152,0,0.0
Fazekasboda,001,"Fazekasboda - 001",J,107,0,0.0
"Felsőegerszeg",001,"Felsőegerszeg - 001",J,76,0,0.0
"Felsőegerszeg",001,"Felsőegerszeg - 001",L,76,0,0.0
Geresdlak,001,"Geresdlak - 001",L,250,0,0.0
"Husztót",001,"Husztót - 001",J,24,0,0.0
"Husztót",001,"Husztót - 001",L,24,0,0.0
Ibafa,001,"Ibafa - 001",J,93,0,0.0
Ibafa,001,"Ibafa - 001",L,93,0,0.0
Illocska,001,"Illocska - 001",L,124,0,0.0
Ipacsfa,001,"Ipacsfa - 001",J,121,0,0.0
Ipacsfa,001,"Ipacsfa - 001",L,121,0,0.0
"Kacsóta",001,"Kacsóta - 001",L,144,0,0.0
Kemse,001,"Kemse - 001",J,39,0,0.0
Kemse,001,"Kemse - 001",L,39,0,0.0
"Kékesd",001,"Kékesd - 001",J,97,0,0.0
"Kékesd",001,"Kékesd - 001",L,97,0,0.0
Kisbeszterce,001,"Kisbeszterce - 001",J,44,0,0.0
Kisbeszterce,001,"Kisbeszterce - 001",L,44,0,0.0
Kisdobsza,001,"Kisdobsza - 001",J,106,0,0.0
Kisdobsza,001,"Kisdobsza - 001",L,106,0,0.0
Kisjakabfalva,001,"Kisjakabfalva - 001",J,68,0,0.0
Kisjakabfalva,001,"Kisjakabfalva - 001",L,68,0,0.0
Kiskassa,001,"Kiskassa - 001",J,137,0,0.0
"Kislippó",001,"Kislippó - 001",L,155,0,0.0
"Kistamási",001,"Kistamási - 001",J,64,0,0.0
"Kistótfalu",001,"Kistótfalu - 001",J,158,0,0.0
"Kistótfalu",001,"Kistótfalu - 001",L,158,0,0.0
"Komló",015,"Komló - 015",L,537,0,0.0
"Komló",021,"Komló - 021",J,261,0,0.0
"Komló",021,"Komló - 021",L,261,0,0.0
"Komló",023,"Komló - 023",J,89,0,0.0
"Komló",023,"Komló - 023",L,89,0,0.0
"Lapáncsa",001,"Lapáncsa - 001",L,106,0,0.0
"Lovászhetény",001,"Lovászhetény - 001",L,138,0,0.0
Magyartelek,001,"Magyartelek - 001",J,99,0,0.0
Magyartelek,001,"Magyartelek - 001",L,99,0,0.0
"Markóc",001,"Markóc - 001",L,34,0,0.0
"Marócsa",001,"Marócsa - 001",J,57,0,0.0
"Marócsa",001,"Marócsa - 001",L,57,0,0.0
"Márfa",001,"Márfa - 001",L,113,0,0.0
"Máriakéménd",001,"Máriakéménd - 001",L,234,0,0.0
"Máza",002,"Máza - 002",L,148,0,0.0
"Meződ",001,"Meződ - 001",L,61,0,0.0
"Mohács",008,"Mohács - 008",J,492,0,0.0
"Mohács",021,"Mohács - 021",J,133,0,0.0
"Mohács",022,"Mohács - 022",J,34,0,0.0
"Mohács",022,"Mohács - 022",L,34,0,0.0
"Nagybudmér",001,"Nagybudmér - 001",J,96,0,0.0
Nemeske,002,"Nemeske - 002",L,67,0,0.0
"Okorág",001,"Okorág - 001",L,71,0,0.0
"Okorvölgy",001,"Okorvölgy - 001",J,41,0,0.0
"Okorvölgy",001,"Okorvölgy - 001",L,41,0,0.0
"Ózdfalu",001,"Ózdfalu - 001",J,84,0,0.0
"Ózdfalu",001,"Ózdfalu - 001",L,84,0,0.0
"Palé",001,"Palé - 001",J,56,0,0.0
"Palé",001,"Palé - 001",L,56,0,0.0
Pereked,001,"Pereked - 001",J,95,0,0.0
"Pécs",010,"Pécs - 010",L,510,0,0.0
"Pécs",025,"Pécs - 025",L,419,0,0.0
"Pécs",032,"Pécs - 032",J,543,0,0.0
"Pécs",033,"Pécs - 033",L,570,0,0.0
"Pécs",036,"Pécs - 036",J,420,0,0.0
"Pécs",045,"Pécs - 045",L,384,0,0.0
"Pécs",049,"Pécs - 049",L,484,0,0.0
"Pécs",062,"Pécs - 062",L,440,0,0.0
"Pécs",067,"Pécs - 067",L,527,0,0.0
"Pécs",097,"Pécs - 097",J,692,0,0.0
"Pécs",100,"Pécs - 100",J,888,0,0.0
"Pécs",100,"Pécs - 100",L,888,0,0.0
"Pécs",115,"Pécs - 115",L,516,0,0.0
"Pécs",131,"Pécs - 131",L,601,0,0.0
"Pécs",147,"Pécs - 147",L,607,0,0.0
"Pécs",148,"Pécs - 148",L,568,0,0.0
"Pécsbagota",001,"Pécsbagota - 001",L,56,0,0.0
"Pécsdevecser",001,"Pécsdevecser - 001",J,57,0,0.0
"Piskó",001,"Piskó - 001",J,139,0,0.0
"Piskó",001,"Piskó - 001",L,139,0,0.0
"Rádfalva",001,"Rádfalva - 001",J,104,0,0.0
Romonya,001,"Romonya - 001",L,297,0,0.0
"Siklósnagyfalu",001,"Siklósnagyfalu - 001",L,157,0,0.0
"Somogyviszló",001,"Somogyviszló - 001",L,120,0,0.0
Sumony,002,"Sumony - 002",J,44,0,0.0
Sumony,002,"Sumony - 002",L,44,0,0.0
"Szárász",001,"Szárász - 001",J,22,0,0.0
"Szárász",001,"Szárász - 001",L,22,0,0.0
"Szellő",001,"Szellő - 001",L,67,0,0.0
"Szentdénes",001,"Szentdénes - 001",L,143,0,0.0
"Szentlőrinc",003,"Szentlőrinc - 003",L,452,0,0.0
"Szentlőrinc",008,"Szentlőrinc - 008",J,91,0,0.0
"Szigetvár",001,"Szigetvár - 001",J,694,0,0.0
"Szigetvár",008,"Szigetvár - 008",J,449,0,0.0
"Szigetvár",009,"Szigetvár - 009",L,399,0,0.0
"Szilvás",001,"Szilvás - 001",J,86,0,0.0
"Szörény",001,"Szörény - 001",J,37,0,0.0
"Szulimán",001,"Szulimán - 001",L,136,0,0.0
"Szűr",001,"Szűr - 001",L,157,0,0.0
"Tarrós",001,"Tarrós - 001",J,55,0,0.0
"Tarrós",001,"Tarrós - 001",L,55,0,0.0
Tengeri,001,"Tengeri - 001",J,36,0,0.0
"Tófű",001,"Tófű - 001",J,71,0,0.0
"Tófű",001,"Tófű - 001",L,71,0,0.0
"Tótszentgyörgy",001,"Tótszentgyörgy - 001",J,91,0,0.0
"Tótszentgyörgy",001,"Tótszentgyörgy - 001",L,91,0,0.0
"Töttös",001,"Töttös - 001",J,278,0,0.0
Udvar,001,"Udvar - 001",L,81,0,0.0
Varga,001,"Varga - 001",J,50,0,0.0
"Vázsnok",001,"Vázsnok - 001",J,64,0,0.0
"Vázsnok",001,"Vázsnok - 001",L,64,0,0.0
Vejti,001,"Vejti - 001",L,88,0,0.0
"Velény",001,"Velény - 001",J,60,0,0.0
"Vékény",001,"Vékény - 001",J,78,0,0.0
Baja,001,"Baja - 001",J,669,0,0.0
Baja,011,"Baja - 011",L,559,0,0.0
Baja,013,"Baja - 013",J,656,0,0.0
Baja,018,"Baja - 018",L,657,0,0.0
"Balotaszállás",002,"Balotaszállás - 002",L,64,0,0.0
"Bácsszentgyörgy",001,"Bácsszentgyörgy - 001",J,97,0,0.0
"Bácsszentgyörgy",001,"Bácsszentgyörgy - 001",L,97,0,0.0
Bugac,003,"Bugac - 003",J,56,0,0.0
Bugac,003,"Bugac - 003",L,56,0,0.0
"Bugacpusztaháza",001,"Bugacpusztaháza - 001",L,140,0,0.0
"Dávod",003,"Dávod - 003",L,91,0,0.0
"Dunaegyháza",001,"Dunaegyháza - 001",L,357,0,0.0
Dunapataj,003,"Dunapataj - 003",L,556,0,0.0
"Érsekcsanád",002,"Érsekcsanád - 002",L,719,0,0.0
"Fülöpjakab",001,"Fülöpjakab - 001",L,621,0,0.0
Harta,004,"Harta - 004",J,39,0,0.0
Harta,004,"Harta - 004",L,39,0,0.0
Harta,005,"Harta - 005",J,49,0,0.0
Harta,005,"Harta - 005",L,49,0,0.0
"Homokmégy",003,"Homokmégy - 003",J,68,0,0.0
"Homokmégy",003,"Homokmégy - 003",L,68,0,0.0
"Homokmégy",004,"Homokmégy - 004",J,105,0,0.0
"Homokmégy",004,"Homokmégy - 004",L,105,0,0.0
"Izsák",006,"Izsák - 006",J,144,0,0.0
"Izsák",006,"Izsák - 006",L,144,0,0.0
"Jánoshalma",007,"Jánoshalma - 007",L,520,0,0.0
"Kecskemét",014,"Kecskemét - 014",J,634,0,0.0
"Kecskemét",039,"Kecskemét - 039",J,514,0,0.0
"Kecskemét",047,"Kecskemét - 047",L,246,0,0.0
"Kecskemét",049,"Kecskemét - 049",L,748,0,0.0
"Kecskemét",071,"Kecskemét - 071",J,323,0,0.0
Kelebia,002,"Kelebia - 002",L,423,0,0.0
Kelebia,004,"Kelebia - 004",J,56,0,0.0
Kelebia,004,"Kelebia - 004",L,56,0,0.0
"Kiskőrös",001,"Kiskőrös - 001",L,471,0,0.0
"Kiskőrös",014,"Kiskőrös - 014",L,524,0,0.0
"Kiskunfélegyháza",002,"Kiskunfélegyháza - 002",J,466,0,0.0
"Kiskunfélegyháza",002,"Kiskunfélegyháza - 002",L,466,0,0.0
"Kiskunfélegyháza",018,"Kiskunfélegyháza - 018",J,89,0,0.0
"Kiskunfélegyháza",022,"Kiskunfélegyháza - 022",L,248,0,0.0
"Kiskunfélegyháza",023,"Kiskunfélegyháza - 023",L,441,0,0.0
"Kiskunfélegyháza",024,"Kiskunfélegyháza - 024",L,531,0,0.0
Kiskunhalas,005,"Kiskunhalas - 005",L,685,0,0.0
Kiskunhalas,025,"Kiskunhalas - 025",L,478,0,0.0
Soltvadkert,004,"Soltvadkert - 004",J,579,0,0.0
Tass,001,"Tass - 001",L,689,0,0.0
"Tiszakécske",010,"Tiszakécske - 010",J,142,0,0.0
"Tiszakécske",010,"Tiszakécske - 010",L,142,0,0.0
"Újsolt",001,"Újsolt - 001",L,114,0,0.0
Battonya,003,"Battonya - 003",L,306,0,0.0
"Békéscsaba",018,"Békéscsaba - 018",L,431,0,0.0
"Békéscsaba",020,"Békéscsaba - 020",L,583,0,0.0
"Békéscsaba",024,"Békéscsaba - 024",L,342,0,0.0
"Békéscsaba",026,"Békéscsaba - 026",L,377,0,0.0
"Gerendás",001,"Gerendás - 001",L,384,0,0.0
Gyula,001,"Gyula - 001",J,821,0,0.0
Gyula,003,"Gyula - 003",J,317,0,0.0
Gyula,009,"Gyula - 009",J,505,0,0.0
Gyula,020,"Gyula - 020",L,547,0,0.0
Gyula,027,"Gyula - 027",L,424,0,0.0
Kondoros,007,"Kondoros - 007",L,254,0,0.0
"Mezőberény",007,"Mezőberény - 007",L,676,0,0.0
"Mezőgyán",002,"Mezőgyán - 002",J,59,0,0.0
"Orosháza",004,"Orosháza - 004",L,490,0,0.0
"Orosháza",008,"Orosháza - 008",L,395,0,0.0
"Orosháza",034,"Orosháza - 034",J,91,0,0.0
"Orosháza",035,"Orosháza - 035",J,100,0,0.0
"Orosháza",035,"Orosháza - 035",L,100,0,0.0
"Orosháza",037,"Orosháza - 037",J,48,0,0.0
"Orosháza",037,"Orosháza - 037",L,48,0,0.0
"Sarkadkeresztúr",003,"Sarkadkeresztúr - 003",J,84,0,0.0
"Sarkadkeresztúr",003,"Sarkadkeresztúr - 003",L,84,0,0.0
"Tótkomlós",009,"Tótkomlós - 009",J,46,0,0.0
"Újszalonta",001,"Újszalonta - 001",L,59,0,0.0
"Végegyháza",002,"Végegyháza - 002",J,85,0,0.0
"Abaújkér",002,"Abaújkér - 002",J,52,0,0.0
"Abaújkér",002,"Abaújkér - 002",L,52,0,0.0
"Abaújlak",001,"Abaújlak - 001",J,55,0,0.0
"Abaújlak",001,"Abaújlak - 001",L,55,0,0.0
"Abaújszolnok",001,"Abaújszolnok - 001",J,52,0,0.0
"Abaújvár",001,"Abaújvár - 001",J,103,0,0.0
"Abaújvár",001,"Abaújvár - 001",L,103,0,0.0
"Alsógagy",001,"Alsógagy - 001",L,51,0,0.0
"Alsótelekes",001,"Alsótelekes - 001",L,70,0,0.0
Arka,001,"Arka - 001",L,52,0,0.0
"Becskeháza",001,"Becskeháza - 001",J,23,0,0.0
"Becskeháza",001,"Becskeháza - 001",L,23,0,0.0
Borsodgeszt,001,"Borsodgeszt - 001",J,166,0,0.0
"Borsodnádasd",004,"Borsodnádasd - 004",L,396,0,0.0
"Bódvalenke",001,"Bódvalenke - 001",J,65,0,0.0
"Bódvalenke",001,"Bódvalenke - 001",L,65,0,0.0
"Bódvarákó",001,"Bódvarákó - 001",L,54,0,0.0
"Bózsva",001,"Bózsva - 001",J,111,0,0.0
"Bózsva",001,"Bózsva - 001",L,111,0,0.0
"Debréte",001,"Debréte - 001",J,13,0,0.0
"Dubicsány",001,"Dubicsány - 001",J,173,0,0.0
"Dubicsány",001,"Dubicsány - 001",L,173,0,0.0
"Égerszög",001,"Égerszög - 001",L,39,0,0.0
"Fáj",001,"Fáj - 001",J,217,0,0.0
"Fáj",001,"Fáj - 001",L,216,0,0.0
"Felsőberecki",001,"Felsőberecki - 001",L,128,0,0.0
"Filkeháza",001,"Filkeháza - 001",L,67,0,0.0
Fony,001,"Fony - 001",J,145,0,0.0
"Füzérradvány",001,"Füzérradvány - 001",J,148,0,0.0
"Gagyapáti",001,"Gagyapáti - 001",L,15,0,0.0
"Gagybátor",001,"Gagybátor - 001",L,83,0,0.0
"Gagyvendégi",001,"Gagyvendégi - 001",L,111,0,0.0
"Galvács",001,"Galvács - 001",J,53,0,0.0
"Galvács",001,"Galvács - 001",L,53,0,0.0
Gesztely,003,"Gesztely - 003",L,400,0,0.0
"Gömörszőlős",001,"Gömörszőlős - 001",J,50,0,0.0
"Gömörszőlős",001,"Gömörszőlős - 001",L,50,0,0.0
"Hangács",001,"Hangács - 001",L,293,0,0.0
"Harsány",001,"Harsány - 001",J,542,0,0.0
"Háromhuta",001,"Háromhuta - 001",L,92,0,0.0
Hegymeg,001,"Hegymeg - 001",J,79,0,0.0
"Hejőszalonta",001,"Hejőszalonta - 001",J,417,0,0.0
"Hejőszalonta",001,"Hejőszalonta - 001",L,416,0,0.0
Imola,001,"Imola - 001",L,63,0,0.0
Irota,001,"Irota - 001",J,56,0,0.0
Irota,001,"Irota - 001",L,56,0,0.0
"Jákfalva",001,"Jákfalva - 001",J,201,0,0.0
"Jósvafő",001,"Jósvafő - 001",J,157,0,0.0
"Jósvafő",001,"Jósvafő - 001",L,158,0,0.0
Kazincbarcika,004,"Kazincbarcika - 004",L,425,0,0.0
Kazincbarcika,006,"Kazincbarcika - 006",L,530,0,0.0
"Kánó",001,"Kánó - 001",L,91,0,0.0
"Kány",001,"Kány - 001",J,36,0,0.0
"Kány",001,"Kány - 001",L,36,0,0.0
"Kéked",001,"Kéked - 001",L,79,0,0.0
"Királd",001,"Királd - 001",J,81,0,0.0
"Királd",001,"Királd - 001",L,81,0,0.0
"Kiscsécs",001,"Kiscsécs - 001",J,106,0,0.0
"Kissikátor",001,"Kissikátor - 001",L,170,0,0.0
"Ládbesenyő",001,"Ládbesenyő - 001",L,138,0,0.0
"Lénárddaróc",001,"Lénárddaróc - 001",J,166,0,0.0
Litka,001,"Litka - 001",J,32,0,0.0
Litka,001,"Litka - 001",L,32,0,0.0
"Mályi",002,"Mályi - 002",J,419,0,0.0
"Mezőkövesd",009,"Mezőkövesd - 009",J,596,0,0.0
"Mezőkövesd",014,"Mezőkövesd - 014",J,499,0,0.0
Miskolc,006,"Miskolc - 006",L,439,0,0.0
Miskolc,009,"Miskolc - 009",J,366,0,0.0
Miskolc,038,"Miskolc - 038",J,505,0,0.0
Miskolc,038,"Miskolc - 038",L,504,0,0.0
Miskolc,041,"Miskolc - 041",J,389,0,0.0
Miskolc,051,"Miskolc - 051",L,465,0,0.0
Miskolc,052,"Miskolc - 052",L,445,0,0.0
Miskolc,055,"Miskolc - 055",L,540,0,0.0
Miskolc,057,"Miskolc - 057",L,612,0,0.0
Miskolc,059,"Miskolc - 059",J,489,0,0.0
Miskolc,067,"Miskolc - 067",J,440,0,0.0
